iter	Passed	Remaining
402	12876	3099
403	12905	3066
404	12934	3033
405	12963	3001
406	13000	2970
407	13033	2939
408	13065	2907
409	13124	2881
410	13163	2850
411	13204	2820
412	13241	2789
413	13270	2756
414	13303	2724
415	13335	2692
416	13382	2663
417	13414	2631
418	13446	2599
419	13474	2566
420	13529	2538
421	13554	2505
422	13578	2471
423	13610	2439
424	13637	2406
425	13660	2372
426	13685	2339
427	13712	2306
428	13743	2274
429	13769	2241
430	13797	2208
431	13834	2177
432	13882	2148
433	13917	2116
434	13946	2083
435	13971	2050
436	13993	2017
437	14016	1984
438	14037	1950
439	14062	1917
440	14093	1885
441	14126	1853
442	14149	1820
443	14172	1787
444	14192	1754
445	14213	1720
446	14235	1687
447	14255	1654
448	14280	1622
449	14302	1589
450	14323	1556
451	14344	1523
452	14367	1490
453	14389	1457
454	14410	1425
455	14464	1395
456	14495	1363
457	14538	1333
458	14573	1301
459	14615	1270
460	14643	1238
461	14676	1207
462	14703	1174
463	14723	1142
464	14748	1110
465	14771	1077
466	14793	1045
467	14816	1013
468	14842	981
469	14869	949
470	14897	917
471	14919	885
472	14941	852
473	14962	820
474	14985	788
475	15011	756
476	15038	725
477	15070	693
478	15117	662
479	15161	631
480	15191	600
481	15225	568
482	15252	536
483	15304	505
484	15341	474
485	15365	442
486	15389	410
487	15418	379
488	15442	347
489	15467	315
490	15497	284
491	15542	252
492	15579	221
493	15630	189
494	15667	158
495	15706	126
496	15739	95
497	15774	63
498	15800	31
499	15823	0
