iter	MultiClass
0	1.008456803
1	0.9308761502
2	0.8627035367
3	0.8014258256
4	0.7471492056
5	0.6978373702
6	0.6535679456
7	0.6136857742
8	0.5771633001
9	0.5428932957
10	0.512451466
11	0.4838927421
12	0.4574498442
13	0.4327942294
14	0.4091406248
15	0.3877266674
16	0.3674845342
17	0.3491630658
18	0.3317633859
19	0.3153754764
20	0.3004296902
21	0.2864123491
22	0.2726809482
23	0.2598466884
24	0.2479927572
25	0.2366974061
26	0.2259556579
27	0.215822069
28	0.2063876853
29	0.1975915167
30	0.1894175652
31	0.181639803
32	0.1741269956
33	0.1671444518
34	0.1604744943
35	0.1540215572
36	0.1479185502
37	0.1425339502
38	0.1371654498
39	0.1319115445
40	0.126880166
41	0.1220114031
42	0.1175681543
43	0.1132718163
44	0.1093459001
45	0.1057448756
46	0.1020574323
47	0.09848520254
48	0.09524834629
49	0.09213428782
50	0.0890728519
51	0.08619200329
52	0.08334733233
53	0.08071280749
54	0.07819479173
55	0.07598693788
56	0.07373761286
57	0.07157452911
58	0.06952404163
59	0.06751051252
60	0.06562494991
61	0.06380347529
62	0.06211433086
63	0.06046266199
64	0.05891320332
65	0.05735080846
66	0.05587668142
67	0.05450378515
68	0.05332830437
69	0.05206758373
70	0.05092100691
71	0.04982634561
72	0.04891035228
73	0.04778843196
74	0.04676292419
75	0.0458597396
76	0.04496379122
77	0.04409952957
78	0.04330988443
79	0.04249491841
80	0.04178332691
81	0.04098774799
82	0.04031349447
83	0.03968974289
84	0.03904906371
85	0.03839205758
86	0.03780437306
87	0.03724821687
88	0.03667995852
89	0.03616045377
90	0.03562358161
91	0.03519892692
92	0.03467911801
93	0.0341885577
94	0.0337685461
95	0.03331016113
96	0.03290899038
97	0.03251992194
98	0.03214573387
99	0.03174578666
100	0.03136097052
101	0.03104114603
102	0.03064277744
103	0.0303128392
104	0.02993569548
105	0.02963444401
106	0.02933246179
107	0.02896420454
108	0.02869015838
109	0.02842590372
110	0.02818299143
111	0.02791262575
112	0.02766308023
113	0.027432256
114	0.02716336093
115	0.0269635314
116	0.02673493751
117	0.02652698634
118	0.02631037095
119	0.02606462459
120	0.02583850028
121	0.02562369304
122	0.02538798056
123	0.02518825575
124	0.02501653532
125	0.02484403473
126	0.02469521801
127	0.02452179802
128	0.02436266002
129	0.0242029906
130	0.02402007187
131	0.0238621583
132	0.02371283193
133	0.0235788209
134	0.02342494998
135	0.02325800722
136	0.02312297236
137	0.02296238291
138	0.02287455823
139	0.02276436412
140	0.02265784754
141	0.02252029071
142	0.02236474868
143	0.02223668987
144	0.02211551407
145	0.02204121864
146	0.02189887823
147	0.02178310153
148	0.02167512507
149	0.0216058471
150	0.02149976482
151	0.02141203316
152	0.02129775258
153	0.02118028161
154	0.02107287755
155	0.02101334617
156	0.02093580792
157	0.02085089291
158	0.02074958591
159	0.02067450213
160	0.02059966105
161	0.02053941149
162	0.02043091462
163	0.02031935301
164	0.02026052784
165	0.02019557733
166	0.02011063061
167	0.02002032733
168	0.01990673043
169	0.01982551287
170	0.0197357657
171	0.01964196047
172	0.01956411063
173	0.01948342008
174	0.01939485616
175	0.01932518452
176	0.0192540318
177	0.01915942608
178	0.01908704155
179	0.01900517483
180	0.01892960686
181	0.01884348344
182	0.01874975606
183	0.01866210015
184	0.01860793367
185	0.01851544509
186	0.01846087576
187	0.01837861487
188	0.0183047166
189	0.01823054066
190	0.01815740009
191	0.01807064024
192	0.01801814708
193	0.01795909215
194	0.01788246006
195	0.01781739098
196	0.01775427097
197	0.01771420576
198	0.01765700159
199	0.01758766291
200	0.01754298759
201	0.0174553778
202	0.01740257823
203	0.01735688763
204	0.01730786072
205	0.01725020751
206	0.01719738226
207	0.01714502883
208	0.01710496174
209	0.01705642613
210	0.01702208132
211	0.01698481674
212	0.01692810969
213	0.01687595348
214	0.01683602082
215	0.01675903505
216	0.01671276254
217	0.01663344426
218	0.01657073547
219	0.01653201033
220	0.01649832003
221	0.01645208819
222	0.01641159781
223	0.01637577534
224	0.01632150748
225	0.01626533171
226	0.01618641321
227	0.01613567961
228	0.01608273931
229	0.0160544442
230	0.015983371
231	0.01593860271
232	0.01589766604
233	0.01583889719
234	0.01579854744
235	0.01576862959
236	0.01572326233
237	0.01569025214
238	0.01565061023
239	0.01561188238
240	0.0155708467
241	0.01553012785
242	0.01548962814
243	0.01545486185
244	0.01541214737
245	0.01536734338
246	0.01533304756
247	0.01529731199
248	0.01524970319
249	0.01521623613
250	0.01518346812
251	0.01514637594
252	0.01508735723
253	0.01504645838
254	0.01501091456
255	0.01497730286
256	0.01492440524
257	0.01489565867
258	0.01486911507
259	0.0148352356
260	0.01479614475
261	0.01476903267
262	0.01473851778
263	0.01470302638
264	0.01467514811
265	0.01463407699
266	0.01460391138
267	0.01457466495
268	0.01455107653
269	0.0145223173
270	0.01449247734
271	0.01443112528
272	0.01439098473
273	0.01435728604
274	0.01431472304
275	0.01428616102
276	0.01425457984
277	0.01422051455
278	0.01418552007
279	0.01416260012
280	0.01413404316
281	0.01409438741
282	0.01404985109
283	0.01401101947
284	0.01398409493
285	0.01395071445
286	0.01391922944
287	0.01389278698
288	0.01386483999
289	0.01384367116
290	0.01381537973
291	0.01378884866
292	0.01376382656
293	0.01373141216
294	0.01369895055
295	0.01365339816
296	0.01362679393
297	0.01359994723
298	0.01357056497
299	0.01355410921
300	0.01352612929
301	0.01350990128
302	0.01348577832
303	0.01346017797
304	0.01341881172
305	0.01339755409
306	0.01338085257
307	0.01336118324
308	0.01333778909
309	0.01330659756
310	0.01328279121
311	0.01326342175
312	0.0132306061
313	0.01321204981
314	0.01319252619
315	0.01315230835
316	0.01312661146
317	0.01310232646
318	0.01307150879
319	0.01304906637
320	0.01303007237
321	0.0130126013
322	0.01299139671
323	0.012943398
324	0.01291900731
